Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2010-03-11,58.790001000000004,58.98,57.919998,58.900002,41.460361,6166500,CAT
2010-03-12,59.529999000000004,60.490002000000004,59.349998,60.360001,42.488068,9688800,CAT
2010-03-15,60.040001,60.25,58.38000099999999,59.470000999999996,41.861595,7906700,CAT
2010-03-16,59.650002,59.68,58.839999999999996,59.45000099999999,41.847515,7281000,CAT
2010-03-17,59.650002,60.5,59.490002000000004,60.220001,42.389526,7925400,CAT
2010-03-18,59.610001,60.389998999999996,59.339999999999996,59.77,42.072777,7204200,CAT
2010-03-19,59.369999,60.31000099999999,58.95000099999999,59.369999,41.79121000000001,9425500,CAT
2010-03-22,58.700001,60.27,58.660000000000004,59.95000099999999,42.199467,7512500,CAT
2010-03-23,60.09999800000001,62.509998,60.009998,62.41,43.931095,14315300,CAT
2010-03-24,61.959998999999996,62.540001,61.419998,62.060001,43.684723,11447400,CAT
2010-03-25,62.68,63.709999,62.049999,62.139999,43.741043,11361900,CAT
2010-03-26,62.400002,63.18,61.990002000000004,62.439999,43.952213,7887300,CAT
2010-03-29,62.759998,63.59999800000001,62.759998,63.48,44.68426899999999,6986500,CAT
2010-03-30,63.38000099999999,63.630001,62.81000099999999,63.160000000000004,44.459015,6183200,CAT
2010-03-31,62.759998,63.5,62.630001,62.849998,44.24081,6660800,CAT
2010-04-01,63.290001000000004,64.199997,63.290001000000004,63.990002000000004,45.043274,7829300,CAT
2010-04-05,64.360001,65,64.199997,64.989998,45.747185,6695600,CAT
2010-04-06,64.809998,65.470001,64.57,65.290001,45.958355000000005,6389000,CAT
2010-04-07,65.25,65.37999699999999,64,64.470001,45.381145,6973000,CAT
2010-04-08,64.050003,64.65000199999999,63.549999,64.48000300000001,45.388183999999995,5418000,CAT
2010-04-09,64.900002,65.519997,64.82,65.269997,45.94427099999999,6022900,CAT
2010-04-12,65.93,67,65.760002,66.73000300000001,46.971992,11837000,CAT
2010-04-13,66.699997,67.25,66.160004,66.19000199999999,46.591877,7001400,CAT
2010-04-14,66.370003,67.370003,66.199997,67.279999,47.359154,5497400,CAT
2010-04-15,67.160004,68.70999900000001,67.160004,68.220001,48.020813000000004,7129500,CAT
2010-04-16,68.050003,68.23000300000001,66.339996,66.87999699999999,47.077568,10385300,CAT
2010-04-19,66.599998,67.699997,65.769997,66.989998,47.154999,7969400,CAT
2010-04-20,67.70999900000001,68.300003,67.400002,67.5,47.514010999999996,7695400,CAT
2010-04-21,67.739998,67.919998,66.699997,67.75,47.68998,6357500,CAT
2010-04-22,66.66999799999999,67.65000199999999,65.970001,67.510002,47.81748199999999,8718700,CAT
2010-04-23,67.199997,68.94999700000001,66.989998,68.779999,48.717022,9044500,CAT
